# Extracted from http://www.earthbyte.org/Resources/ICONS/ch4.html#x1-960004.3.4
# latitude longitude sediment_thickness(meters)
-39.95000 291.30000 nan
-39.95000 291.35000 nan
-39.95000 291.40000 nan
-39.95000 291.45000 nan
-39.95000 291.50000 nan
-39.95000 291.55000 nan
-39.95000 291.60000 nan
-39.95000 291.65000 nan
-39.95000 291.70000 nan
-39.95000 291.75000 nan
-39.95000 291.80000 nan
-39.95000 291.85000 nan
-39.95000 291.90000 nan
-39.95000 291.95000 nan
-39.95000 292.00000 nan
-39.95000 292.05000 nan
-39.95000 292.10000 nan
-39.95000 292.15000 nan
-39.95000 292.20000 nan
-39.95000 292.25000 nan
-39.95000 292.30000 nan
-39.95000 292.35000 nan
-39.95000 292.40000 nan
-39.95000 292.45000 nan
-39.95000 292.50000 nan
-39.95000 292.55000 nan
-39.95000 292.60000 nan
-39.95000 292.65000 nan
-39.95000 292.70000 nan
-39.95000 292.75000 nan
-39.95000 292.80000 nan
-39.95000 292.85000 nan
-39.95000 292.90000 nan
-39.95000 292.95000 nan
-39.95000 293.00000 nan
-39.95000 293.05000 nan
-39.95000 293.10000 nan
-39.95000 293.15000 nan
-39.95000 293.20000 nan
-39.95000 293.25000 nan
-39.95000 293.30000 nan
-39.95000 293.35000 nan
-39.95000 293.40000 nan
-39.95000 293.45000 nan
-39.95000 293.50000 nan
-39.95000 293.55000 nan
-39.95000 293.60000 nan
-39.95000 293.65000 nan
-39.90000 289.15000 nan
-39.90000 289.20000 nan
-39.90000 289.25000 nan
-39.90000 289.30000 nan
-39.90000 289.35000 nan
-39.90000 289.40000 206.65765
-39.90000 289.45000 566.41281
-39.90000 289.50000 904.23453
-39.90000 289.55000 1020.63060
-39.90000 289.60000 1153.79810
-39.90000 289.65000 1242.85758
-39.90000 289.70000 1283.12063
-39.90000 289.75000 1311.84351
-39.90000 289.80000 1332.36086
-39.90000 289.85000 1318.03143
-39.90000 289.90000 1291.61036
-39.90000 289.95000 1277.02761
-39.90000 290.00000 1276.25120
-39.90000 290.05000 1275.42818
-39.90000 290.10000 1265.89799
-39.90000 290.15000 1227.61405
-39.90000 290.20000 1174.61789
-39.90000 290.25000 1104.48802
-39.90000 290.30000 1052.70576
-39.90000 290.35000 1017.88986
-39.90000 290.40000 859.95531
-39.90000 290.45000 725.86608
-39.90000 290.50000 623.30544
-39.90000 290.55000 439.44287
-39.90000 290.60000 213.59038
-39.90000 290.65000 nan
-39.90000 290.70000 nan
-39.90000 290.75000 nan
-39.90000 290.80000 nan
-39.90000 290.85000 nan
-39.90000 290.90000 nan
-39.90000 290.95000 nan
-39.90000 291.00000 nan
-39.90000 291.05000 nan
-39.90000 291.10000 nan
-39.90000 291.15000 nan
-39.90000 291.20000 nan
-39.90000 291.25000 nan
-39.90000 291.30000 nan
-39.90000 291.35000 nan
-39.90000 291.40000 nan
-39.90000 291.45000 nan
-39.90000 291.50000 nan
-39.90000 291.55000 nan
-39.90000 291.60000 nan
-39.90000 291.65000 nan
-39.90000 291.70000 nan
-39.90000 291.75000 nan
-39.90000 291.80000 nan
-39.90000 291.85000 nan
-39.90000 291.90000 nan
-39.90000 291.95000 nan
-39.90000 292.00000 nan
-39.90000 292.05000 nan
-39.90000 292.10000 nan
-39.90000 292.15000 nan
-39.90000 292.20000 nan
-39.90000 292.25000 nan
-39.90000 292.30000 nan
-39.90000 292.35000 nan
-39.90000 292.40000 nan
-39.90000 292.45000 nan
-39.90000 292.50000 nan
-39.90000 292.55000 nan
-39.90000 292.60000 nan
-39.90000 292.65000 nan
-39.90000 292.70000 nan
-39.90000 292.75000 nan
-39.90000 292.80000 nan
-39.90000 292.85000 nan
-39.90000 292.90000 nan
-39.90000 292.95000 nan
-39.90000 293.00000 nan
-39.90000 293.05000 nan
-39.90000 293.10000 nan
-39.90000 293.15000 nan
-39.90000 293.20000 nan
-39.90000 293.25000 nan
-39.90000 293.30000 nan
-39.90000 293.35000 nan
-39.90000 293.40000 nan
-39.90000 293.45000 nan
-39.90000 293.50000 nan
-39.90000 293.55000 nan
-39.90000 293.60000 nan
-39.90000 293.65000 nan
-39.85000 289.15000 nan
-39.85000 289.20000 nan
-39.85000 289.25000 nan
-39.85000 289.30000 nan
-39.85000 289.35000 nan
-39.85000 289.40000 409.91938
-39.85000 289.45000 775.92337
-39.85000 289.50000 1028.14937
-39.85000 289.55000 1144.76359
-39.85000 289.60000 1235.63027
-39.85000 289.65000 1303.55334
-39.85000 289.70000 1347.30327
-39.85000 289.75000 1378.44861
-39.85000 289.80000 1403.89180
-39.85000 289.85000 1417.05060
-39.85000 289.90000 1413.16450
-39.85000 289.95000 1400.61319
-39.85000 290.00000 1386.50119
-39.85000 290.05000 1394.90068
-39.85000 290.10000 1393.12804
-39.85000 290.15000 1366.97721
-39.85000 290.20000 1322.06357
-39.85000 290.25000 1271.38996
-39.85000 290.30000 1227.77915
-39.85000 290.35000 1187.97994
-39.85000 290.40000 1104.47109
-39.85000 290.45000 1042.77611
-39.85000 290.50000 1004.89604
-39.85000 290.55000 802.59299
-39.85000 290.60000 595.26730
-39.85000 290.65000 406.64089
-39.85000 290.70000 256.92964
-39.85000 290.75000 nan
-39.85000 290.80000 nan
-39.85000 290.85000 nan
-39.85000 290.90000 nan
-39.85000 290.95000 nan
-39.85000 291.00000 nan
-39.85000 291.05000 nan
-39.85000 291.10000 nan
-39.85000 291.15000 nan
-39.85000 291.20000 nan
-39.85000 291.25000 nan
-39.85000 291.30000 nan
-39.85000 291.35000 nan
-39.85000 291.40000 nan
-39.85000 291.45000 nan
-39.85000 291.50000 nan
-39.85000 291.55000 nan
-39.85000 291.60000 nan
-39.85000 291.65000 nan
-39.85000 291.70000 nan
-39.85000 291.75000 nan
-39.85000 291.80000 nan
-39.85000 291.85000 nan
-39.85000 291.90000 nan
-39.85000 291.95000 nan
-39.85000 292.00000 nan
-39.85000 292.05000 nan
-39.85000 292.10000 nan
-39.85000 292.15000 nan
-39.85000 292.20000 nan
-39.85000 292.25000 nan
-39.85000 292.30000 nan
-39.85000 292.35000 nan
-39.85000 292.40000 nan
-39.85000 292.45000 nan
-39.85000 292.50000 nan
-39.85000 292.55000 nan
-39.85000 292.60000 nan
-39.85000 292.65000 nan
-39.85000 292.70000 nan
-39.85000 292.75000 nan
-39.85000 292.80000 nan
-39.85000 292.85000 nan
-39.85000 292.90000 nan
-39.85000 292.95000 nan
-39.85000 293.00000 nan
-39.85000 293.05000 nan
-39.85000 293.10000 nan
-39.85000 293.15000 nan
